Timestamp (seconds)	 pupil X	 pupil Y	 Scene X	 Scene Y
Timestamp (seconds)	 a	 pupil b	 centerx	 centery	 theta
16.196	334	384	255	424	79	-40	-2147483648	-2147483648
16.332	330	387	256	428	74	-41	-2147483648	-2147483648
16.485	354	390	262	423	92	-33	-2147483648	-2147483648
16.717	276	365	230	416	46	-51	-2147483648	-2147483648
16.856	288	369	235	414	53	-45	-2147483648	-2147483648
17.047	295	312	235	401	60	-89	-2147483648	-2147483648
17.208	306	322	231	409	75	-87	-2147483648	-2147483648
17.347	300	316	228	418	72	-102	-2147483648	-2147483648
17.496	303	308	229	415	74	-107	-2147483648	-2147483648
17.650	0	0	235	407	74	-107	-2147483648	-2147483648
17.862	309	339	244	409	65	-70	-2147483648	-2147483648
18.007	0	0	242	406	65	-70	-2147483648	-2147483648
18.169	302	328	239	409	63	-81	-2147483648	-2147483648
18.322	302	335	238	410	64	-75	-2147483648	-2147483648
18.490	304	327	238	402	66	-75	-2147483648	-2147483648
18.656	306	324	237	407	69	-83	-2147483648	-2147483648
18.810	306	325	238	398	68	-73	-2147483648	-2147483648
18.949	306	326	238	398	68	-72	-2147483648	-2147483648
19.093	303	326	237	402	66	-76	-2147483648	-2147483648
19.254	335	367	254	421	81	-54	-2147483648	-2147483648
19.421	336	365	254	415	82	-50	-2147483648	-2147483648
19.561	0	0	250	414	82	-50	-2147483648	-2147483648
19.715	321	354	248	405	73	-51	-2147483648	-2147483648
19.914	320	352	246	405	74	-53	-2147483648	-2147483648
20.065	309	367	246	416	63	-49	-2147483648	-2147483648
20.212	310	370	244	415	66	-45	-2147483648	-2147483648
20.427	276	320	227	397	49	-77	-2147483648	-2147483648
20.561	278	311	225	401	53	-90	-2147483648	-2147483648
20.743	289	323	227	405	62	-82	-2147483648	-2147483648
20.906	306	320	230	410	76	-90	-2147483648	-2147483648
21.067	324	336	233	419	91	-83	-2147483648	-2147483648
21.237	320	360	219	457	101	-97	-2147483648	-2147483648
21.434	354	367	216	465	138	-98	-2147483648	-2147483648
21.569	363	351	229	441	134	-90	-2147483648	-2147483648
21.798	361	373	-1	-1	362	374	-2147483648	-2147483648
21.936	332	335	219	451	113	-116	-2147483648	-2147483648
